Sea Surface Height relative to hydrographic zero - Nazare tide gauge (ref 856)  
LAT: 39 35.167 N    LONG:  9  4.456W  (ETRS89)
Julian Day    Y    M  D  H  M  S  SSH (m)
18490.62500  2019  1  6 15  0  0  3.19
18490.66667  2019  1  6 16  0  0  3.07
18490.70833  2019  1  6 17  0  0  2.67
18490.75000  2019  1  6 18  0  0  2.11
18490.79167  2019  1  6 19  0  0  1.54
18490.83333  2019  1  6 20  0  0  1.11
18490.87500  2019  1  6 21  0  0  0.94
18490.91667  2019  1  6 22  0  0  1.07
18490.95833  2019  1  6 23  0  0  1.48
18491.00000  2019  1  7  0  0  0  2.04
18491.04167  2019  1  7  1  0  0  2.62
18491.08333  2019  1  7  2  0  0  3.11
18491.12500  2019  1  7  3  0  0  3.36
18491.16667  2019  1  7  4  0  0  3.31
18491.20833  2019  1  7  5  0  0  2.96
18491.25000  2019  1  7  6  0  0  2.40
18491.29167  2019  1  7  7  0  0  1.78
18491.33333  2019  1  7  8  0  0  1.23
18491.37500  2019  1  7  9  0  0  0.91
18491.41667  2019  1  7 10  0  0  0.90
18491.45833  2019  1  7 11  0  0  1.19
18491.50000  2019  1  7 12  0  0  1.68
18491.54167  2019  1  7 13  0  0  2.25
18491.58333  2019  1  7 14  0  0  2.77
18491.62500  2019  1  7 15  0  0  3.10
18491.66667  2019  1  7 16  0  0  3.16
18491.70833  2019  1  7 17  0  0  2.90
18491.75000  2019  1  7 18  0  0  2.42
18491.79167  2019  1  7 19  0  0  1.86
18491.83333  2019  1  7 20  0  0  1.35
18491.87500  2019  1  7 21  0  0  1.02
18491.91667  2019  1  7 22  0  0  0.99
18491.95833  2019  1  7 23  0  0  1.25
18492.00000  2019  1  8  0  0  0  1.73
18492.04167  2019  1  8  1  0  0  2.32
18492.08333  2019  1  8  2  0  0  2.87
18492.12500  2019  1  8  3  0  0  3.27
18492.16667  2019  1  8  4  0  0  3.40
18492.20833  2019  1  8  5  0  0  3.20
18492.25000  2019  1  8  6  0  0  2.75
18492.29167  2019  1  8  7  0  0  2.16
18492.33333  2019  1  8  8  0  0  1.56
18492.37500  2019  1  8  9  0  0  1.11
18492.41667  2019  1  8 10  0  0  0.94
18492.45833  2019  1  8 11  0  0  1.07
18492.50000  2019  1  8 12  0  0  1.45
18492.54167  2019  1  8 13  0  0  1.97
18492.58333  2019  1  8 14  0  0  2.50
18492.62500  2019  1  8 15  0  0  2.94
18492.66667  2019  1  8 16  0  0  3.13
18492.70833  2019  1  8 17  0  0  3.04
18492.75000  2019  1  8 18  0  0  2.68
18492.79167  2019  1  8 19  0  0  2.18
18492.83333  2019  1  8 20  0  0  1.63
18492.87500  2019  1  8 21  0  0  1.21
18492.91667  2019  1  8 22  0  0  1.02
18492.95833  2019  1  8 23  0  0  1.13
18493.00000  2019  1  9  0  0  0  1.49
18493.04167  2019  1  9  1  0  0  2.02
18493.08333  2019  1  9  2  0  0  2.59
18493.12500  2019  1  9  3  0  0  3.08
18493.16667  2019  1  9  4  0  0  3.35
18493.20833  2019  1  9  5  0  0  3.34
18493.25000  2019  1  9  6  0  0  3.05
18493.29167  2019  1  9  7  0  0  2.54
18493.33333  2019  1  9  8  0  0  1.95
18493.37500  2019  1  9  9  0  0  1.42
18493.41667  2019  1  9 10  0  0  1.10
18493.45833  2019  1  9 11  0  0  1.06
18493.50000  2019  1  9 12  0  0  1.29
18493.54167  2019  1  9 13  0  0  1.73
18493.58333  2019  1  9 14  0  0  2.24
18493.62500  2019  1  9 15  0  0  2.72
18493.66667  2019  1  9 16  0  0  3.04
18493.70833  2019  1  9 17  0  0  3.12
18493.75000  2019  1  9 18  0  0  2.92
18493.79167  2019  1  9 19  0  0  2.51
18493.83333  2019  1  9 20  0  0  2.00
18493.87500  2019  1  9 21  0  0  1.53
18493.91667  2019  1  9 22  0  0  1.23
18493.95833  2019  1  9 23  0  0  1.18
18494.00000  2019  1 10  0  0  0  1.39
18494.04167  2019  1 10  1  0  0  1.80
18494.08333  2019  1 10  2  0  0  2.33
18494.12500  2019  1 10  3  0  0  2.84
18494.16667  2019  1 10  4  0  0  3.22
18494.20833  2019  1 10  5  0  0  3.36
18494.25000  2019  1 10  6  0  0  3.22
18494.29167  2019  1 10  7  0  0  2.85
18494.33333  2019  1 10  8  0  0  2.32
18494.37500  2019  1 10  9  0  0  1.78
18494.41667  2019  1 10 10  0  0  1.36
18494.45833  2019  1 10 11  0  0  1.17
18494.50000  2019  1 10 12  0  0  1.25
18494.54167  2019  1 10 13  0  0  1.55
18494.58333  2019  1 10 14  0  0  1.99
18494.62500  2019  1 10 15  0  0  2.45
18494.66667  2019  1 10 16  0  0  2.84
18494.70833  2019  1 10 17  0  0  3.04
18494.75000  2019  1 10 18  0  0  3.00
18494.79167  2019  1 10 19  0  0  2.72
18494.83333  2019  1 10 20  0  0  2.29
18494.87500  2019  1 10 21  0  0  1.83
18494.91667  2019  1 10 22  0  0  1.45
18494.95833  2019  1 10 23  0  0  1.25
18495.00000  2019  1 11  0  0  0  1.30
18495.04167  2019  1 11  1  0  0  1.57
18495.08333  2019  1 11  2  0  0  2.00
18495.12500  2019  1 11  3  0  0  2.47
18495.16667  2019  1 11  4  0  0  2.89
18495.20833  2019  1 11  5  0  0  3.16
18495.25000  2019  1 11  6  0  0  3.20
18495.29167  2019  1 11  7  0  0  2.97
18495.33333  2019  1 11  8  0  0  2.57
18495.37500  2019  1 11  9  0  0  2.06
18495.41667  2019  1 11 10  0  0  1.59
18495.45833  2019  1 11 11  0  0  1.27
18495.50000  2019  1 11 12  0  0  1.19
18495.54167  2019  1 11 13  0  0  1.35
18495.58333  2019  1 11 14  0  0  1.67
18495.62500  2019  1 11 15  0  0  2.08
18495.66667  2019  1 11 16  0  0  2.49
18495.70833  2019  1 11 17  0  0  2.79
18495.75000  2019  1 11 18  0  0  2.91
18495.79167  2019  1 11 19  0  0  2.79
18495.83333  2019  1 11 20  0  0  2.47
18495.87500  2019  1 11 21  0  0  2.08
18495.91667  2019  1 11 22  0  0  1.68
18495.95833  2019  1 11 23  0  0  1.39
18496.00000  2019  1 12  0  0  0  1.29
18496.04167  2019  1 12  1  0  0  1.40
18496.08333  2019  1 12  2  0  0  1.70
18496.12500  2019  1 12  3  0  0  2.11
18496.16667  2019  1 12  4  0  0  2.54
18496.20833  2019  1 12  5  0  0  2.88
18496.25000  2019  1 12  6  0  0  3.06
18496.29167  2019  1 12  7  0  0  3.02
18496.33333  2019  1 12  8  0  0  2.76
18496.37500  2019  1 12  9  0  0  2.35
18496.41667  2019  1 12 10  0  0  1.90
18496.45833  2019  1 12 11  0  0  1.52
18496.50000  2019  1 12 12  0  0  1.31
18496.54167  2019  1 12 13  0  0  1.30
18496.58333  2019  1 12 14  0  0  1.49
18496.62500  2019  1 12 15  0  0  1.82
18496.66667  2019  1 12 16  0  0  2.19
18496.70833  2019  1 12 17  0  0  2.53
18496.75000  2019  1 12 18  0  0  2.76
18496.79167  2019  1 12 19  0  0  2.80
18496.83333  2019  1 12 20  0  0  2.65
18496.87500  2019  1 12 21  0  0  2.36
18496.91667  2019  1 12 22  0  0  2.01
18496.95833  2019  1 12 23  0  0  1.68
18497.00000  2019  1 13  0  0  0  1.46
