Sea Surface Height relative to hydrographic zero - Nazare tide gauge (ref 856)  
LAT: 39 35.167 N    LONG:  9  4.456W  (ETRS89)
Julian Day    Y    M  D  H  M  S  SSH (m)
18125.62500  2018  1  6 15  0  0  2.07
18125.66667  2018  1  6 16  0  0  2.68
18125.70833  2018  1  6 17  0  0  3.16
18125.75000  2018  1  6 18  0  0  3.37
18125.79167  2018  1  6 19  0  0  3.27
18125.83333  2018  1  6 20  0  0  2.90
18125.87500  2018  1  6 21  0  0  2.35
18125.91667  2018  1  6 22  0  0  1.77
18125.95833  2018  1  6 23  0  0  1.33
18126.00000  2018  1  7  0  0  0  1.14
18126.04167  2018  1  7  1  0  0  1.24
18126.08333  2018  1  7  2  0  0  1.60
18126.12500  2018  1  7  3  0  0  2.12
18126.16667  2018  1  7  4  0  0  2.70
18126.20833  2018  1  7  5  0  0  3.20
18126.25000  2018  1  7  6  0  0  3.49
18126.29167  2018  1  7  7  0  0  3.50
18126.33333  2018  1  7  8  0  0  3.21
18126.37500  2018  1  7  9  0  0  2.70
18126.41667  2018  1  7 10  0  0  2.10
18126.45833  2018  1  7 11  0  0  1.56
18126.50000  2018  1  7 12  0  0  1.20
18126.54167  2018  1  7 13  0  0  1.11
18126.58333  2018  1  7 14  0  0  1.28
18126.62500  2018  1  7 15  0  0  1.66
18126.66667  2018  1  7 16  0  0  2.15
18126.70833  2018  1  7 17  0  0  2.65
18126.75000  2018  1  7 18  0  0  3.03
18126.79167  2018  1  7 19  0  0  3.19
18126.83333  2018  1  7 20  0  0  3.09
18126.87500  2018  1  7 21  0  0  2.76
18126.91667  2018  1  7 22  0  0  2.29
18126.95833  2018  1  7 23  0  0  1.81
18127.00000  2018  1  8  0  0  0  1.45
18127.04167  2018  1  8  1  0  0  1.31
18127.08333  2018  1  8  2  0  0  1.40
18127.12500  2018  1  8  3  0  0  1.70
18127.16667  2018  1  8  4  0  0  2.14
18127.20833  2018  1  8  5  0  0  2.62
18127.25000  2018  1  8  6  0  0  3.02
18127.29167  2018  1  8  7  0  0  3.25
18127.33333  2018  1  8  8  0  0  3.24
18127.37500  2018  1  8  9  0  0  2.98
18127.41667  2018  1  8 10  0  0  2.55
18127.45833  2018  1  8 11  0  0  2.06
18127.50000  2018  1  8 12  0  0  1.61
18127.54167  2018  1  8 13  0  0  1.33
18127.58333  2018  1  8 14  0  0  1.27
18127.62500  2018  1  8 15  0  0  1.41
18127.66667  2018  1  8 16  0  0  1.72
18127.70833  2018  1  8 17  0  0  2.11
18127.75000  2018  1  8 18  0  0  2.52
18127.79167  2018  1  8 19  0  0  2.84
18127.83333  2018  1  8 20  0  0  2.96
18127.87500  2018  1  8 21  0  0  2.87
18127.91667  2018  1  8 22  0  0  2.61
18127.95833  2018  1  8 23  0  0  2.24
18128.00000  2018  1  9  0  0  0  1.85
18128.04167  2018  1  9  1  0  0  1.55
18128.08333  2018  1  9  2  0  0  1.45
18128.12500  2018  1  9  3  0  0  1.53
18128.16667  2018  1  9  4  0  0  1.78
18128.20833  2018  1  9  5  0  0  2.14
18128.25000  2018  1  9  6  0  0  2.54
18128.29167  2018  1  9  7  0  0  2.88
18128.33333  2018  1  9  8  0  0  3.07
18128.37500  2018  1  9  9  0  0  3.06
18128.41667  2018  1  9 10  0  0  2.89
18128.45833  2018  1  9 11  0  0  2.56
18128.50000  2018  1  9 12  0  0  2.15
18128.54167  2018  1  9 13  0  0  1.79
18128.58333  2018  1  9 14  0  0  1.55
18128.62500  2018  1  9 15  0  0  1.49
18128.66667  2018  1  9 16  0  0  1.59
18128.70833  2018  1  9 17  0  0  1.83
18128.75000  2018  1  9 18  0  0  2.15
18128.79167  2018  1  9 19  0  0  2.50
18128.83333  2018  1  9 20  0  0  2.78
18128.87500  2018  1  9 21  0  0  2.90
18128.91667  2018  1  9 22  0  0  2.85
18128.95833  2018  1  9 23  0  0  2.63
18129.00000  2018  1 10  0  0  0  2.30
18129.04167  2018  1 10  1  0  0  1.96
18129.08333  2018  1 10  2  0  0  1.68
18129.12500  2018  1 10  3  0  0  1.55
18129.16667  2018  1 10  4  0  0  1.59
18129.20833  2018  1 10  5  0  0  1.77
18129.25000  2018  1 10  6  0  0  2.06
18129.29167  2018  1 10  7  0  0  2.39
18129.33333  2018  1 10  8  0  0  2.69
18129.37500  2018  1 10  9  0  0  2.88
18129.41667  2018  1 10 10  0  0  2.91
18129.45833  2018  1 10 11  0  0  2.76
18129.50000  2018  1 10 12  0  0  2.48
18129.54167  2018  1 10 13  0  0  2.12
18129.58333  2018  1 10 14  0  0  1.78
18129.62500  2018  1 10 15  0  0  1.54
18129.66667  2018  1 10 16  0  0  1.45
18129.70833  2018  1 10 17  0  0  1.51
18129.75000  2018  1 10 18  0  0  1.71
18129.79167  2018  1 10 19  0  0  2.01
18129.83333  2018  1 10 20  0  0  2.35
18129.87500  2018  1 10 21  0  0  2.62
18129.91667  2018  1 10 22  0  0  2.76
18129.95833  2018  1 10 23  0  0  2.74
18130.00000  2018  1 11  0  0  0  2.56
18130.04167  2018  1 11  1  0  0  2.26
18130.08333  2018  1 11  2  0  0  1.92
18130.12500  2018  1 11  3  0  0  1.64
18130.16667  2018  1 11  4  0  0  1.49
18130.20833  2018  1 11  5  0  0  1.49
18130.25000  2018  1 11  6  0  0  1.64
18130.29167  2018  1 11  7  0  0  1.89
18130.33333  2018  1 11  8  0  0  2.22
18130.37500  2018  1 11  9  0  0  2.51
18130.41667  2018  1 11 10  0  0  2.72
18130.45833  2018  1 11 11  0  0  2.77
18130.50000  2018  1 11 12  0  0  2.65
18130.54167  2018  1 11 13  0  0  2.39
18130.58333  2018  1 11 14  0  0  2.04
18130.62500  2018  1 11 15  0  0  1.70
18130.66667  2018  1 11 16  0  0  1.44
18130.70833  2018  1 11 17  0  0  1.33
18130.75000  2018  1 11 18  0  0  1.40
18130.79167  2018  1 11 19  0  0  1.63
18130.83333  2018  1 11 20  0  0  1.97
18130.87500  2018  1 11 21  0  0  2.33
18130.91667  2018  1 11 22  0  0  2.63
18130.95833  2018  1 11 23  0  0  2.81
18131.00000  2018  1 12  0  0  0  2.80
18131.04167  2018  1 12  1  0  0  2.62
18131.08333  2018  1 12  2  0  0  2.30
18131.12500  2018  1 12  3  0  0  1.94
18131.16667  2018  1 12  4  0  0  1.63
18131.20833  2018  1 12  5  0  0  1.44
18131.25000  2018  1 12  6  0  0  1.44
18131.29167  2018  1 12  7  0  0  1.60
18131.33333  2018  1 12  8  0  0  1.88
18131.37500  2018  1 12  9  0  0  2.23
18131.41667  2018  1 12 10  0  0  2.56
18131.45833  2018  1 12 11  0  0  2.79
18131.50000  2018  1 12 12  0  0  2.86
18131.54167  2018  1 12 13  0  0  2.72
18131.58333  2018  1 12 14  0  0  2.44
18131.62500  2018  1 12 15  0  0  2.07
18131.66667  2018  1 12 16  0  0  1.70
18131.70833  2018  1 12 17  0  0  1.43
18131.75000  2018  1 12 18  0  0  1.34
18131.79167  2018  1 12 19  0  0  1.44
18131.83333  2018  1 12 20  0  0  1.72
18131.87500  2018  1 12 21  0  0  2.10
18131.91667  2018  1 12 22  0  0  2.51
18131.95833  2018  1 12 23  0  0  2.85
18132.00000  2018  1 13  0  0  0  3.02
18132.04167  2018  1 13  1  0  0  2.99
18132.08333  2018  1 13  2  0  0  2.76
18132.12500  2018  1 13  3  0  0  2.41
18132.16667  2018  1 13  4  0  0  2.01
18132.20833  2018  1 13  5  0  0  1.66
18132.25000  2018  1 13  6  0  0  1.45
18132.29167  2018  1 13  7  0  0  1.45
18132.33333  2018  1 13  8  0  0  1.63
18132.37500  2018  1 13  9  0  0  1.95
18132.41667  2018  1 13 10  0  0  2.34
